date,venue,teams,toss_winner,toss_decision,match_winner,players
2010-04-13,Brabourne Stadium,"('Delhi Daredevils', 'Mumbai Indians')",Mumbai Indians,bat,Mumbai Indians,"(('A Mishra', 'A Nehra', 'AB McDonald', 'AB de Villiers', 'DA Warner', 'G Gambhir', 'KD Karthik', 'PD Collingwood', 'PJ Sangwan', 'S Ladda', 'V Sehwag'), ('AG Murtaza', 'AT Rayudu', 'C Madan', 'CRD Fernando', 'DJ Bravo', 'Harbhajan Singh', 'JP Duminy', 'KA Pollard', 'SR Tendulkar', 'SS Tiwary', 'Z Khan'))"
2013-05-14,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Delhi Daredevils')",Chennai Super Kings,bat,Chennai Super Kings,"(('DJ Bravo', 'JA Morkel', 'JO Holder', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('A Nehra', 'BJ Rohrer', 'DA Warner', 'IK Pathan', 'J Botha', 'KM Jadhav', 'RE van der Merwe', 'S Kaul', 'UBT Chand', 'UT Yadav', 'V Sehwag'))"
2024-04-16,"Eden Gardens, Kolkata","('Kolkata Knight Riders', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('A Raghuvanshi', 'AD Russell', 'CV Varun', 'Harshit Rana', 'MA Starc', 'PD Salt', 'RK Singh', 'Ramandeep Singh', 'SP Narine', 'SS Iyer', 'VG Arora', 'VR Iyer'), ('Avesh Khan', 'Dhruv Jurel', 'JC Buttler', 'KR Sen', 'R Ashwin', 'R Parag', 'R Powell', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2014-05-28,Brabourne Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,field,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Hussey', 'DR Smith', 'F du Plessis', 'IC Pandey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AP Tare', 'AT Rayudu', 'CJ Anderson', 'Harbhajan Singh', 'JJ Bumrah', 'KA Pollard', 'LMP Simmons', 'MEK Hussey', 'P Kumar', 'PP Ojha', 'RG Sharma'))"
2018-05-27,Wankhede Stadium,"('Chennai Super Kings', 'Sunrisers Hyderabad')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'KV Sharma', 'L Ngidi', 'MS Dhoni', 'RA Jadeja', 'SK Raina', 'SN Thakur', 'SR Watson'), ('B Kumar', 'CR Brathwaite', 'DJ Hooda', 'KS Williamson', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'SP Goswami', 'Sandeep Sharma', 'Shakib Al Hasan', 'YK Pathan'))"
2024-04-30,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Lucknow Super Giants', 'Mumbai Indians')",Lucknow Super Giants,field,Lucknow Super Giants,"(('A Badoni', 'AA Kulkarni', 'AJ Turner', 'DJ Hooda', 'KH Pandya', 'KL Rahul', 'MP Stoinis', 'MP Yadav', 'Mohsin Khan', 'N Pooran', 'Naveen-ul-Haq', 'Ravi Bishnoi'), ('G Coetzee', 'HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'Mohammad Nabi', 'N Thushara', 'N Wadhera', 'PP Chawla', 'RG Sharma', 'SA Yadav', 'TH David', 'Tilak Varma'))"
2011-04-13,Dr DY Patil Sports Academy,"('Kochi Tuskers Kerala', 'Pune Warriors')",Kochi Tuskers Kerala,bat,Pune Warriors,"(('BB McCullum', 'BJ Hodge', 'DPMD Jayawardene', 'M Muralitharan', 'PA Patel', 'R Vinay Kumar', 'RA Jadeja', 'RP Singh', 'RV Gomez', 'S Sreesanth', 'VVS Laxman'), ('AC Thomas', 'GC Smith', 'JD Ryder', 'M Kartik', 'M Manhas', 'MD Mishra', 'R Sharma', 'RV Uthappa', 'SB Wagh', 'WD Parnell', 'Yuvraj Singh'))"
2015-05-03,Brabourne Stadium,"('Delhi Daredevils', 'Rajasthan Royals')",Delhi Daredevils,field,Rajasthan Royals,"(('A Mishra', 'AD Mathews', 'GS Sandhu', 'JP Duminy', 'KM Jadhav', 'MA Agarwal', 'NM Coulter-Nile', 'SS Iyer', 'SS Tiwary', 'Yuvraj Singh', 'Z Khan'), ('AM Rahane', 'DJ Hooda', 'DS Kulkarni', 'JP Faulkner', 'KK Nair', 'R Bhatia', 'SPD Smith', 'SR Watson', 'STR Binny', 'SV Samson', 'TG Southee'))"
2020-10-31,Sharjah Cricket Stadium,"('Royal Challengers Bangalore', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('AB de Villiers', 'CH Morris', 'D Padikkal', 'Gurkeerat Singh', 'I Udana', 'JR Philippe', 'Mohammed Siraj', 'NA Saini', 'V Kohli', 'Washington Sundar', 'YS Chahal'), ('Abdul Samad', 'Abhishek Sharma', 'DA Warner', 'JO Holder', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Nadeem', 'Sandeep Sharma', 'T Natarajan', 'WP Saha'))"
2013-04-28,Shaheed Veer Narayan Singh International Stadium,"('Delhi Daredevils', 'Pune Warriors')",Pune Warriors,field,Delhi Daredevils,"(('A Nehra', 'BJ Rohrer', 'DA Warner', 'DPMD Jayawardene', 'IK Pathan', 'KM Jadhav', 'M Morkel', 'S Nadeem', 'UBT Chand', 'UT Yadav', 'V Sehwag'), ('AB Dinda', 'AJ Finch', 'AM Nayar', 'B Kumar', 'KW Richardson', 'LJ Wright', 'M Manhas', 'R Sharma', 'RV Uthappa', 'SPD Smith', 'Yuvraj Singh'))"
2019-05-03,Punjab Cricket Association IS Bindra Stadium,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AJ Tye', 'Arshdeep Singh', 'CH Gayle', 'KL Rahul', 'M Ashwin', 'MA Agarwal', 'Mandeep Singh', 'Mohammed Shami', 'N Pooran', 'R Ashwin', 'SM Curran'), ('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'N Rana', 'PP Chawla', 'RK Singh', 'RV Uthappa', 'S Sandeep Warrier', 'SP Narine', 'Shubman Gill'))"
2022-04-07,"Dr DY Patil Sports Academy, Mumbai","('Delhi Capitals', 'Lucknow Super Giants')",Lucknow Super Giants,field,Lucknow Super Giants,"(('A Nortje', 'AR Patel', 'DA Warner', 'Kuldeep Yadav', 'Lalit Yadav', 'Mustafizur Rahman', 'PP Shaw', 'R Powell', 'RR Pant', 'SN Khan', 'SN Thakur'), ('A Badoni', 'AJ Tye', 'Avesh Khan', 'DJ Hooda', 'E Lewis', 'JO Holder', 'K Gowtham', 'KH Pandya', 'KL Rahul', 'Q de Kock', 'Ravi Bishnoi'))"
2016-04-14,Saurashtra Cricket Association Stadium,"('Gujarat Lions', 'Rising Pune Supergiants')",Rising Pune Supergiants,bat,Gujarat Lions,"(('AD Nath', 'AJ Finch', 'BB McCullum', 'DJ Bravo', 'JP Faulkner', 'KD Karthik', 'P Kumar', 'PV Tambe', 'RA Jadeja', 'SB Jakati', 'SK Raina'), ('AM Rahane', 'F du Plessis', 'I Sharma', 'KP Pietersen', 'M Ashwin', 'MR Marsh', 'MS Dhoni', 'R Ashwin', 'R Bhatia', 'RP Singh', 'SPD Smith'))"
2011-04-16,"MA Chidambaram Stadium, Chepauk","('Chennai Super Kings', 'Royal Challengers Bangalore')",Chennai Super Kings,bat,Chennai Super Kings,"(('JA Morkel', 'M Vijay', 'MEK Hussey', 'MS Dhoni', 'R Ashwin', 'S Anirudha', 'S Badrinath', 'S Randiv', 'SB Jakati', 'SK Raina', 'TG Southee'), ('AB de Villiers', 'AUK Pathan', 'CA Pujara', 'DL Vettori', 'JJ van der Wath', 'MA Agarwal', 'R Ninan', 'SS Tiwary', 'TM Dilshan', 'V Kohli', 'Z Khan'))"
2025-04-07,"Wankhede Stadium, Mumbai","('Mumbai Indians', 'Royal Challengers Bengaluru')",Mumbai Indians,field,Royal Challengers Bengaluru,"(('DL Chahar', 'HH Pandya', 'JJ Bumrah', 'MJ Santner', 'Naman Dhir', 'RD Rickelton', 'RG Sharma', 'SA Yadav', 'TA Boult', 'Tilak Varma', 'V Puthur', 'WG Jacks'), ('B Kumar', 'D Padikkal', 'JM Sharma', 'JR Hazlewood', 'KH Pandya', 'LS Livingstone', 'PD Salt', 'RM Patidar', 'Suyash Sharma', 'TH David', 'V Kohli', 'Yash Dayal'))"
2009-04-28,SuperSport Park,"('Delhi Daredevils', 'Rajasthan Royals')",Delhi Daredevils,bat,Rajasthan Royals,"(('A Mishra', 'A Nehra', 'AB de Villiers', 'DL Vettori', 'DP Nannes', 'G Gambhir', 'KD Karthik', 'M Manhas', 'PJ Sangwan', 'TM Dilshan', 'V Sehwag'), ('AD Mascarenhas', 'GC Smith', 'Kamran Khan', 'M Rawat', 'MM Patel', 'PC Valthaty', 'RA Jadeja', 'RJ Quiney', 'SA Asnodkar', 'SK Warne', 'YK Pathan'))"
2010-03-16,Eden Gardens,"('Chennai Super Kings', 'Kolkata Knight Riders')",Chennai Super Kings,bat,Chennai Super Kings,"(('JA Morkel', 'JM Kemp', 'L Balaji', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'MS Dhoni', 'MS Gony', 'R Ashwin', 'S Badrinath', 'SK Raina'), ('AD Mathews', 'BJ Hodge', 'I Sharma', 'LR Shukla', 'M Kartik', 'MK Tiwary', 'OA Shah', 'RS Gavaskar', 'SC Ganguly', 'SE Bond', 'WP Saha'))"
2013-04-20,M Chinnaswamy Stadium,"('Rajasthan Royals', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Royal Challengers Bangalore,"(('A Chandila', 'AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'R Dravid', 'S Sreesanth', 'SK Trivedi', 'SR Watson', 'STR Binny', 'SW Tait'), ('AB de Villiers', 'CH Gayle', 'JD Unadkat', 'KB Arun Karthik', 'M Kartik', 'R Rampaul', 'R Vinay Kumar', 'RP Singh', 'SS Tiwary', 'TM Dilshan', 'V Kohli'))"
2020-10-03,Sheikh Zayed Stadium,"('Rajasthan Royals', 'Royal Challengers Bangalore')",Rajasthan Royals,bat,Royal Challengers Bangalore,"(('JC Archer', 'JC Buttler', 'JD Unadkat', 'MK Lomror', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson', 'TK Curran'), ('A Zampa', 'AB de Villiers', 'AJ Finch', 'D Padikkal', 'Gurkeerat Singh', 'I Udana', 'NA Saini', 'S Dube', 'V Kohli', 'Washington Sundar', 'YS Chahal'))"
2015-05-07,Eden Gardens,"('Delhi Daredevils', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('A Mishra', 'AD Mathews', 'Imran Tahir', 'JA Morkel', 'JP Duminy', 'KM Jadhav', 'MK Tiwary', 'SS Iyer', 'SS Tiwary', 'Yuvraj Singh', 'Z Khan'), ('AD Russell', 'G Gambhir', 'GB Hogg', 'J Botha', 'MK Pandey', 'PP Chawla', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2022-05-07,"Wankhede Stadium, Mumbai","('Punjab Kings', 'Rajasthan Royals')",Punjab Kings,bat,Rajasthan Royals,"(('Arshdeep Singh', 'JM Bairstow', 'JM Sharma', 'K Rabada', 'LS Livingstone', 'MA Agarwal', 'PBB Rajapaksa', 'R Dhawan', 'RD Chahar', 'S Dhawan', 'Sandeep Sharma'), ('D Padikkal', 'JC Buttler', 'KR Sen', 'M Prasidh Krishna', 'R Ashwin', 'R Parag', 'SO Hetmyer', 'SV Samson', 'TA Boult', 'YBK Jaiswal', 'YS Chahal'))"
2016-04-12,M Chinnaswamy Stadium,"('Royal Challengers Bangalore', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Royal Challengers Bangalore,"(('AB de Villiers', 'AF Milne', 'CH Gayle', 'HV Patel', 'KM Jadhav', 'Parvez Rasool', 'SN Khan', 'SR Watson', 'STR Binny', 'V Kohli', 'YS Chahal'), ('A Ashish Reddy', 'A Nehra', 'B Kumar', 'DA Warner', 'DJ Hooda', 'EJG Morgan', 'KV Sharma', 'MC Henriques', 'Mustafizur Rahman', 'NV Ojha', 'S Dhawan'))"
2008-04-29,Eden Gardens,"('Kolkata Knight Riders', 'Mumbai Indians')",Kolkata Knight Riders,bat,Mumbai Indians,"(('AB Agarkar', 'AB Dinda', 'BB McCullum', 'DB Das', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'M Kartik', 'Mohammad Hafeez', 'RT Ponting', 'SC Ganguly'), ('A Nehra', 'AM Nayar', 'AM Rahane', 'CRD Fernando', 'DJ Bravo', 'DS Kulkarni', 'MK Pandey', 'PR Shah', 'RV Uthappa', 'SM Pollock', 'ST Jayasuriya'))"
2022-04-19,"Dr DY Patil Sports Academy, Mumbai","('Lucknow Super Giants', 'Royal Challengers Bangalore')",Lucknow Super Giants,field,Royal Challengers Bangalore,"(('A Badoni', 'Avesh Khan', 'DJ Hooda', 'JO Holder', 'KH Pandya', 'KL Rahul', 'MK Pandey', 'MP Stoinis', 'PVD Chameera', 'Q de Kock', 'Ravi Bishnoi'), ('Anuj Rawat', 'F du Plessis', 'GJ Maxwell', 'HV Patel', 'JR Hazlewood', 'KD Karthik', 'Mohammed Siraj', 'PWH de Silva', 'SS Prabhudessai', 'Shahbaz Ahmed', 'V Kohli'))"
2019-05-05,Wankhede Stadium,"('Kolkata Knight Riders', 'Mumbai Indians')",Mumbai Indians,field,Mumbai Indians,"(('AD Russell', 'CA Lynn', 'HF Gurney', 'KD Karthik', 'M Prasidh Krishna', 'N Rana', 'RK Singh', 'RV Uthappa', 'S Sandeep Warrier', 'SP Narine', 'Shubman Gill'), ('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'KA Pollard', 'KH Pandya', 'MJ McClenaghan', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SL Malinga'))"
2014-04-19,Dubai International Cricket Stadium,"('Delhi Daredevils', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Delhi Daredevils,"(('JD Unadkat', 'JDS Neesham', 'JP Duminy', 'KD Karthik', 'LRPL Taylor', 'M Vijay', 'MA Agarwal', 'MK Tiwary', 'Mohammed Shami', 'NM Coulter-Nile', 'S Nadeem'), ('G Gambhir', 'JH Kallis', 'M Morkel', 'MK Pandey', 'PP Chawla', 'R Vinay Kumar', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'Shakib Al Hasan', 'YK Pathan'))"
2010-04-07,Eden Gardens,"('Delhi Daredevils', 'Kolkata Knight Riders')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('A Mishra', 'DA Warner', 'DL Vettori', 'G Gambhir', 'KD Karthik', 'KM Jadhav', 'MF Maharoof', 'PD Collingwood', 'PJ Sangwan', 'R Bhatia', 'V Sehwag'), ('AB Agarkar', 'AB Dinda', 'AD Mathews', 'BAW Mendis', 'BB McCullum', 'CA Pujara', 'CH Gayle', 'Iqbal Abdulla', 'MK Tiwary', 'SC Ganguly', 'WP Saha'))"
2011-05-07,Wankhede Stadium,"('Delhi Daredevils', 'Mumbai Indians')",Delhi Daredevils,field,Mumbai Indians,"(('AB Agarkar', 'CA Ingram', 'DA Warner', 'IK Pathan', 'JR Hopes', 'M Morkel', 'NV Ojha', 'S Nadeem', 'V Sehwag', 'Y Nagar', 'Y Venugopal Rao'), ('A Symonds', 'AC Blizzard', 'AT Rayudu', 'DS Kulkarni', 'Harbhajan Singh', 'KA Pollard', 'MM Patel', 'RG Sharma', 'SL Malinga', 'SR Tendulkar', 'TL Suman'))"
2017-04-29,Maharashtra Cricket Association Stadium,"('Rising Pune Supergiant', 'Royal Challengers Bangalore')",Royal Challengers Bangalore,field,Rising Pune Supergiant,"(('AM Rahane', 'DL Chahar', 'DT Christian', 'Imran Tahir', 'JD Unadkat', 'LH Ferguson', 'MK Tiwary', 'MS Dhoni', 'RA Tripathi', 'SPD Smith', 'Washington Sundar'), ('AB de Villiers', 'AF Milne', 'KM Jadhav', 'P Negi', 'S Aravind', 'S Badree', 'STR Binny', 'Sachin Baby', 'TM Head', 'V Kohli', 'YS Chahal'))"
2020-10-14,Dubai International Cricket Stadium,"('Delhi Capitals', 'Rajasthan Royals')",Delhi Capitals,bat,Delhi Capitals,"(('A Nortje', 'AM Rahane', 'AR Patel', 'AT Carey', 'K Rabada', 'MP Stoinis', 'PP Shaw', 'R Ashwin', 'S Dhawan', 'SS Iyer', 'TU Deshpande'), ('BA Stokes', 'JC Archer', 'JC Buttler', 'JD Unadkat', 'Kartik Tyagi', 'R Parag', 'R Tewatia', 'RV Uthappa', 'S Gopal', 'SPD Smith', 'SV Samson'))"
2023-05-03,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Chennai Super Kings', 'Lucknow Super Giants')",Chennai Super Kings,field,no-result,"(('AM Rahane', 'AT Rayudu', 'DL Chahar', 'DP Conway', 'M Pathirana', 'M Theekshana', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'S Dube', 'TU Deshpande'), ('A Badoni', 'K Gowtham', 'KH Pandya', 'KR Mayers', 'KS Sharma', 'M Vohra', 'MP Stoinis', 'Mohsin Khan', 'N Pooran', 'Naveen-ul-Haq', 'Ravi Bishnoi'))"
2009-05-04,Buffalo Park,"('Chennai Super Kings', 'Deccan Chargers')",Chennai Super Kings,bat,Chennai Super Kings,"(('JA Morkel', 'JDP Oram', 'L Balaji', 'M Muralitharan', 'M Vijay', 'ML Hayden', 'MS Dhoni', 'S Badrinath', 'S Tyagi', 'SB Jakati', 'SK Raina'), ('AC Gilchrist', 'DR Smith', 'HH Gibbs', 'PP Ojha', 'RG Sharma', 'RJ Harris', 'RP Singh', 'Shoaib Ahmed', 'TL Suman', 'VVS Laxman', 'Y Venugopal Rao'))"
2015-05-16,"Punjab Cricket Association Stadium, Mohali","('Chennai Super Kings', 'Kings XI Punjab')",Kings XI Punjab,bat,Chennai Super Kings,"(('A Nehra', 'BB McCullum', 'DJ Bravo', 'F du Plessis', 'IC Pandey', 'MEK Hussey', 'MS Dhoni', 'P Negi', 'R Ashwin', 'RA Jadeja', 'SK Raina'), ('AR Patel', 'Anureet Singh', 'BE Hendricks', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'Gurkeerat Singh', 'M Vohra', 'R Dhawan', 'Sandeep Sharma', 'WP Saha'))"
2024-05-04,"M Chinnaswamy Stadium, Bengaluru","('Gujarat Titans', 'Royal Challengers Bengaluru')",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,"(('B Sai Sudharsan', 'DA Miller', 'J Little', 'M Shahrukh Khan', 'MJ Suthar', 'MM Sharma', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'Shubman Gill', 'V Shankar', 'WP Saha'), ('C Green', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'KV Sharma', 'Mohammed Siraj', 'RM Patidar', 'Swapnil Singh', 'V Kohli', 'Vijaykumar Vyshak', 'WG Jacks', 'Yash Dayal'))"
2016-05-21,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"('Kings XI Punjab', 'Rising Pune Supergiants')",Kings XI Punjab,bat,Rising Pune Supergiants,"(('AR Patel', 'DA Miller', 'F Behardien', 'Gurkeerat Singh', 'HM Amla', 'KJ Abbott', 'M Vijay', 'MM Sharma', 'R Dhawan', 'Sandeep Sharma', 'WP Saha'), ('A Zampa', 'AB Dinda', 'AM Rahane', 'DL Chahar', 'GJ Bailey', 'IK Pathan', 'MS Dhoni', 'NLTC Perera', 'R Ashwin', 'SS Tiwary', 'UT Khawaja'))"
2014-05-11,Barabati Stadium,"('Kings XI Punjab', 'Kolkata Knight Riders')",Kolkata Knight Riders,field,Kolkata Knight Riders,"(('AR Patel', 'DA Miller', 'GJ Bailey', 'GJ Maxwell', 'MG Johnson', 'Mandeep Singh', 'P Awana', 'R Dhawan', 'Sandeep Sharma', 'V Sehwag', 'WP Saha'), ('G Gambhir', 'JH Kallis', 'M Morkel', 'MK Pandey', 'PP Chawla', 'RN ten Doeschate', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2020-10-04,Sharjah Cricket Stadium,"('Mumbai Indians', 'Sunrisers Hyderabad')",Mumbai Indians,bat,Mumbai Indians,"(('HH Pandya', 'Ishan Kishan', 'JJ Bumrah', 'JL Pattinson', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'TA Boult'), ('Abdul Samad', 'Abhishek Sharma', 'DA Warner', 'JM Bairstow', 'KS Williamson', 'MK Pandey', 'PK Garg', 'Rashid Khan', 'S Kaul', 'Sandeep Sharma', 'T Natarajan'))"
2020-09-19,Sheikh Zayed Stadium,"('Chennai Super Kings', 'Mumbai Indians')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DL Chahar', 'F du Plessis', 'KM Jadhav', 'L Ngidi', 'M Vijay', 'MS Dhoni', 'PP Chawla', 'RA Jadeja', 'SM Curran', 'SR Watson'), ('HH Pandya', 'JJ Bumrah', 'JL Pattinson', 'KA Pollard', 'KH Pandya', 'Q de Kock', 'RD Chahar', 'RG Sharma', 'SA Yadav', 'SS Tiwary', 'TA Boult'))"
2012-04-11,Wankhede Stadium,"('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,field,Mumbai Indians,"(('AT Rayudu', 'Harbhajan Singh', 'JEC Franklin', 'KA Pollard', 'KD Karthik', 'MM Patel', 'PP Ojha', 'RE Levi', 'RG Sharma', 'SL Malinga', 'TL Suman'), ('A Singh', 'AA Chavan', 'AL Menaria', 'AM Rahane', 'GB Hogg', 'J Botha', 'KK Cooper', 'OA Shah', 'R Dravid', 'SK Trivedi', 'SP Goswami'))"
2018-04-09,Rajiv Gandhi International Stadium,"('Rajasthan Royals', 'Sunrisers Hyderabad')",Sunrisers Hyderabad,field,Sunrisers Hyderabad,"(('AM Rahane', 'B Laughlin', 'BA Stokes', 'DJM Short', 'DS Kulkarni', 'JC Buttler', 'JD Unadkat', 'K Gowtham', 'RA Tripathi', 'S Gopal', 'SV Samson'), ('B Kumar', 'B Stanlake', 'DJ Hooda', 'KS Williamson', 'MK Pandey', 'Rashid Khan', 'S Dhawan', 'S Kaul', 'Shakib Al Hasan', 'WP Saha', 'YK Pathan'))"
2025-04-20,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur","('Punjab Kings', 'Royal Challengers Bengaluru')",Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,"(('Arshdeep Singh', 'Harpreet Brar', 'JP Inglis', 'M Jansen', 'MP Stoinis', 'N Wadhera', 'P Simran Singh', 'Priyansh Arya', 'SS Iyer', 'Shashank Singh', 'XC Bartlett', 'YS Chahal'), ('B Kumar', 'D Padikkal', 'JM Sharma', 'JR Hazlewood', 'KH Pandya', 'PD Salt', 'R Shepherd', 'RM Patidar', 'Suyash Sharma', 'TH David', 'V Kohli', 'Yash Dayal'))"
2017-04-11,Maharashtra Cricket Association Stadium,"('Delhi Daredevils', 'Rising Pune Supergiant')",Rising Pune Supergiant,field,Delhi Daredevils,"(('A Mishra', 'AP Tare', 'CH Morris', 'CJ Anderson', 'KK Nair', 'PJ Cummins', 'RR Pant', 'S Nadeem', 'SV Samson', 'SW Billings', 'Z Khan'), ('A Zampa', 'AB Dinda', 'AM Rahane', 'BA Stokes', 'DL Chahar', 'F du Plessis', 'Imran Tahir', 'MA Agarwal', 'MS Dhoni', 'R Bhatia', 'RA Tripathi'))"
2013-05-12,Sawai Mansingh Stadium,"('Chennai Super Kings', 'Rajasthan Royals')",Rajasthan Royals,field,Rajasthan Royals,"(('CH Morris', 'DJ Bravo', 'JO Holder', 'M Vijay', 'MEK Hussey', 'MM Sharma', 'MS Dhoni', 'R Ashwin', 'RA Jadeja', 'S Badrinath', 'SK Raina'), ('AM Rahane', 'BJ Hodge', 'DH Yagnik', 'JP Faulkner', 'KK Cooper', 'R Dravid', 'SK Trivedi', 'SR Watson', 'STR Binny', 'SV Samson', 'VS Malik'))"
2024-04-07,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow","('Gujarat Titans', 'Lucknow Super Giants')",Lucknow Super Giants,bat,Lucknow Super Giants,"(('B Sai Sudharsan', 'BR Sharath', 'DG Nalkande', 'KS Williamson', 'MM Sharma', 'Noor Ahmad', 'R Tewatia', 'Rashid Khan', 'SH Johnson', 'Shubman Gill', 'UT Yadav', 'V Shankar'), ('A Badoni', 'D Padikkal', 'KH Pandya', 'KL Rahul', 'M Siddharth', 'MP Stoinis', 'MP Yadav', 'N Pooran', 'Naveen-ul-Haq', 'Q de Kock', 'Ravi Bishnoi', 'Yash Thakur'))"
2008-05-08,Eden Gardens,"('Kolkata Knight Riders', 'Royal Challengers Bangalore')",Kolkata Knight Riders,bat,Kolkata Knight Riders,"(('A Chopra', 'AB Dinda', 'BJ Hodge', 'DJ Hussey', 'I Sharma', 'LR Shukla', 'M Kartik', 'SC Ganguly', 'T Taibu', 'Umar Gul', 'WP Saha'), ('A Kumble', 'CL White', 'DW Steyn', 'J Arunkumar', 'MV Boucher', 'P Kumar', 'R Dravid', 'R Vinay Kumar', 'S Chanderpaul', 'V Kohli', 'Z Khan'))"
2017-04-17,Feroz Shah Kotla,"('Delhi Daredevils', 'Kolkata Knight Riders')",Delhi Daredevils,bat,Kolkata Knight Riders,"(('A Mishra', 'AD Mathews', 'CH Morris', 'KK Nair', 'Mohammed Shami', 'PJ Cummins', 'RR Pant', 'SS Iyer', 'SV Samson', 'SW Billings', 'Z Khan'), ('C de Grandhomme', 'CR Woakes', 'G Gambhir', 'Kuldeep Yadav', 'MK Pandey', 'NM Coulter-Nile', 'RV Uthappa', 'SA Yadav', 'SP Narine', 'UT Yadav', 'YK Pathan'))"
2009-05-14,Kingsmead,"('Mumbai Indians', 'Rajasthan Royals')",Rajasthan Royals,bat,Rajasthan Royals,"(('AM Nayar', 'AM Rahane', 'C Nanda', 'DJ Bravo', 'DS Kulkarni', 'Harbhajan Singh', 'JP Duminy', 'SL Malinga', 'SR Tendulkar', 'ST Jayasuriya', 'YV Takawale'), ('AS Raut', 'GC Smith', 'J Botha', 'MM Patel', 'NV Ojha', 'RA Jadeja', 'RJ Quiney', 'SD Chitnis', 'SK Trivedi', 'SK Warne', 'YK Pathan'))"
2021-04-16,"Wankhede Stadium, Mumbai","('Chennai Super Kings', 'Punjab Kings')",Chennai Super Kings,field,Chennai Super Kings,"(('AT Rayudu', 'DJ Bravo', 'DL Chahar', 'F du Plessis', 'MM Ali', 'MS Dhoni', 'RA Jadeja', 'RD Gaikwad', 'SK Raina', 'SM Curran', 'SN Thakur'), ('Arshdeep Singh', 'CH Gayle', 'DJ Hooda', 'JA Richardson', 'KL Rahul', 'M Ashwin', 'M Shahrukh Khan', 'MA Agarwal', 'Mohammed Shami', 'N Pooran', 'RP Meredith'))"
